Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,219.1x5.6 CHS,-,29.5,219.1,219.1,5.6,5.6,,,,,,,,0.688,23.3,2140,2140,7.55,7.55,195,195,255,255,,,,4280,37.6,,,,,,,,,,,,,,39.1,391
,219.1x6.3 CHS,-,33.1,219.1,219.1,6.3,6.3,,,,,,,,0.688,20.8,2390,2390,7.53,7.53,218,218,285,285,,,,4770,42.1,,,,,,,,,,,,,,34.8,436
,219.1x8 CHS,-,41.6,219.1,219.1,8,8,,,,,,,,0.688,16.5,2960,2960,7.47,7.47,270,270,357,357,,,,5920,53.1,,,,,,,,,,,,,,27.4,540
,219.1x10 CHS,-,51.6,219.1,219.1,10,10,,,,,,,,0.688,13.3,3600,3600,7.4,7.4,328,328,438,438,,,,7200,65.7,,,,,,,,,,,,,,21.9,657
,219.1x12.5 CHS,-,63.7,219.1,219.1,12.5,12.5,,,,,,,,0.688,10.8,4350,4350,7.32,7.32,397,397,534,534,,,,8690,81.1,,,,,,,,,,,,,,17.5,793
,219.1x14.2 CHS,-,71.8,219.1,219.1,14.2,14.2,,,,,,,,0.688,9.56,4820,4820,7.26,7.26,440,440,597,597,,,,9640,91.4,,,,,,,,,,,,,,15.4,880
,219.1x16 CHS,-,80.1,219.1,219.1,16,16,,,,,,,,0.688,8.6,5300,5300,7.2,7.2,483,483,661,661,,,,10600,102,,,,,,,,,,,,,,13.7,967
,244.5x5 CHS,-,29.5,244.5,244.5,5,5,,,,,,,,0.768,26,2700,2700,8.47,8.47,221,221,287,287,,,,5400,37.6,,,,,,,,,,,,,,48.9,441
,244.5x5.6 CHS,-,33,244.5,244.5,5.6,5.6,,,,,,,,0.768,23.3,3000,3000,8.45,8.45,245,245,320,320,,,,6000,42,,,,,,,,,,,,,,43.7,491
,244.5x6.3 CHS,-,37,244.5,244.5,6.3,6.3,,,,,,,,0.768,20.7,3350,3350,8.42,8.42,274,274,358,358,,,,6690,47.1,,,,,,,,,,,,,,38.8,547
,244.5x8 CHS,-,46.7,244.5,244.5,8,8,,,,,,,,0.768,16.4,4160,4160,8.37,8.37,340,340,448,448,,,,8320,59.4,,,,,,,,,,,,,,30.6,681
,244.5x10 CHS,-,57.8,244.5,244.5,10,10,,,,,,,,0.768,13.3,5070,5070,8.3,8.3,415,415,550,550,,,,10100,73.7,,,,,,,,,,,,,,24.5,830
,244.5x12.5 CHS,-,71.5,244.5,244.5,12.5,12.5,,,,,,,,0.768,10.8,6150,6150,8.21,8.21,503,503,673,673,,,,12300,91.1,,,,,,,,,,,,,,19.6,1010
,244.5x14.2 CHS,-,80.6,244.5,244.5,14.2,14.2,,,,,,,,0.768,9.52,6840,6840,8.16,8.16,559,559,754,754,,,,13700,103,,,,,,,,,,,,,,17.2,1120
,244.5x16 CHS,-,90.2,244.5,244.5,16,16,,,,,,,,0.768,8.52,7530,7530,8.1,8.1,616,616,837,837,,,,15100,115,,,,,,,,,,,,,,15.3,1230
,273x5 CHS,-,33,273,273,5,5,,,,,,,,0.858,26,3780,3780,9.48,9.48,277,277,359,359,,,,7560,42.1,,,,,,,,,,,,,,54.6,554
,273x5.6 CHS,-,36.9,273,273,5.6,5.6,,,,,,,,0.858,23.3,4210,4210,9.46,9.46,308,308,400,400,,,,8410,47,,,,,,,,,,,,,,48.8,616
,273x6.3 CHS,-,41.4,273,273,6.3,6.3,,,,,,,,0.858,20.7,4700,4700,9.43,9.43,344,344,448,448,,,,9390,52.8,,,,,,,,,,,,,,43.3,688
,273x8 CHS,-,52.3,273,273,8,8,,,,,,,,0.858,16.4,5850,5850,9.37,9.37,429,429,562,562,,,,11700,66.6,,,,,,,,,,,,,,34.1,857
,273x10 CHS,-,64.9,273,273,10,10,,,,,,,,0.858,13.2,7150,7150,9.31,9.31,524,524,692,692,,,,14300,82.6,,,,,,,,,,,,,,27.3,1050
,273x12.5 CHS,-,80.3,273,273,12.5,12.5,,,,,,,,0.858,10.7,8700,8700,9.22,9.22,637,637,849,849,,,,17400,102,,,,,,,,,,,,,,21.8,1270
,273x14.2 CHS,-,90.6,273,273,14.2,14.2,,,,,,,,0.858,9.44,9700,9700,9.16,9.16,710,710,952,952,,,,19400,115,,,,,,,,,,,,,,19.2,1420
,273x16 CHS,-,101,273,273,16,16,,,,,,,,0.858,8.46,10700,10700,9.1,9.1,784,784,1060,1060,,,,21400,129,,,,,,,,,,,,,,17.1,1570
